city,city_type,state,city_size,mode,n,percent,moe,state_abb,state_region
Auburn Hills city,City,Michigan,Small,Walk,341,3.1,1.4,MI,North Central
Austin city,City,Minnesota,Small,Walk,594,5.2,1.5,MN,North Central
Aventura city,City,Florida,Small,Walk,148,1.1,0.8,FL,South
Avon city,City,Ohio,Small,Walk,47,0.5,0.5,OH,North Central
Avon Lake city,City,Ohio,Small,Walk,58,0.6,0.4,OH,North Central
Avondale city,City,Arizona,Small,Walk,391,1.2,0.7,AZ,West
Azusa city,City,California,Small,Walk,1340,6.4,1.7,CA,West
Bainbridge Island city,City,Washington,Small,Walk,621,6.1,1.8,WA,West
Balch Springs city,City,Texas,Small,Walk,73,0.8,0.6,TX,South
Baldwin Park city,City,California,Small,Walk,561,1.8,0.5,CA,West
Ballwin city,City,Missouri,Small,Walk,302,1.9,0.8,MO,North Central
Bangor city,City,Maine,Small,Walk,959,5.9,1.5,ME,Northeast
Banning city,City,California,Small,Walk,101,1.1,0.8,CA,West
Barberton city,City,Ohio,Small,Walk,237,2,0.9,OH,North Central
Barnstable Town city,City,Massachusetts,Small,Walk,509,2.3,0.8,MA,Northeast
Barstow city,City,California,Small,Walk,644,7.5,3.4,CA,West
Bartlesville city,City,Oklahoma,Small,Walk,349,2.2,0.7,OK,South
Bartlett city,City,Tennessee,Small,Walk,91,0.3,0.2,TN,South
Bartlett village,Village,Illinois,Small,Walk,159,0.7,0.6,IL,North Central
Batavia city,City,Illinois,Small,Walk,154,1.2,0.7,IL,North Central
Battle Creek city,City,Michigan,Small,Walk,802,3.9,0.9,MI,North Central
Bay City city,City,Michigan,Small,Walk,362,2.6,1,MI,North Central
Bayonne city,City,New Jersey,Small,Walk,2626,8.7,1.3,NJ,Northeast
Baytown city,City,Texas,Small,Walk,419,1.5,0.6,TX,South
Beaumont city,City,California,Small,Walk,106,0.7,0.5,CA,West
Beavercreek city,City,Ohio,Small,Walk,300,1.3,0.6,OH,North Central
Beaverton city,City,Oregon,Small,Walk,2370,5.3,1.2,OR,West
Bedford city,City,Texas,Small,Walk,323,1.2,0.7,TX,South
Bell city,City,California,Small,Walk,502,3.8,1.4,CA,West
Bell Gardens city,City,California,Small,Walk,554,3.4,1,CA,West
Bella Vista town,Town,Arkansas,Small,Walk,181,1.7,1.6,AR,South
Belleville city,City,Illinois,Small,Walk,416,1.9,0.9,IL,North Central
Bellevue city,City,Nebraska,Small,Walk,226,0.9,0.3,NE,North Central
Bellflower city,City,California,Small,Walk,620,1.9,0.7,CA,West
Bellingham city,City,Washington,Small,Walk,3243,8.2,1.4,WA,West
Belmont city,City,California,Small,Walk,259,2,0.8,CA,West
Beloit city,City,Wisconsin,Small,Walk,679,4.5,1.1,WI,North Central
Belton city,City,Missouri,Small,Walk,39,0.4,0.3,MO,North Central
Belvidere city,City,Illinois,Small,Walk,242,2.3,1.4,IL,North Central
Benbrook city,City,Texas,Small,Walk,23,0.2,0.2,TX,South
Bend city,City,Oregon,Small,Walk,1090,3,1.1,OR,West
Benicia city,City,California,Small,Walk,261,2,1,CA,West
Benton city,City,Arkansas,Small,Walk,165,1.2,0.6,AR,South
Bentonville city,City,Arkansas,Small,Walk,398,2.3,1.1,AR,South
Bergenfield borough,Borough,New Jersey,Small,Walk,288,2.1,1.2,NJ,Northeast
Berwyn city,City,Illinois,Small,Walk,1157,4.7,1.3,IL,North Central
Bessemer city,City,Alabama,Small,Walk,69,0.7,0.6,AL,South
Bethel Park municipality,Municipality,Pennsylvania,Small,Walk,156,1,0.4,PA,Northeast
Bethlehem city,City,Pennsylvania,Small,Walk,1631,5,1,PA,Northeast
Bettendorf city,City,Iowa,Small,Walk,141,0.9,0.5,IA,North Central
Beverly city,City,Massachusetts,Small,Walk,1336,6.4,1.2,MA,Northeast
Beverly Hills city,City,California,Small,Walk,889,5.4,1.2,CA,West
Biddeford city,City,Maine,Small,Walk,661,6,2.4,ME,Northeast
Big Spring city,City,Texas,Small,Walk,231,2.6,1.3,TX,South
Biloxi city,City,Mississippi,Small,Walk,2131,9.3,1.5,MS,South
Binghamton city,City,New York,Small,Walk,899,4.8,1.1,NY,Northeast
Birmingham city,City,Michigan,Small,Walk,185,1.9,0.9,MI,North Central
Bismarck city,City,North Dakota,Small,Walk,840,2.5,0.6,ND,North Central
Bixby city,City,Oklahoma,Small,Walk,19,0.2,0.2,OK,South
Blacksburg town,Town,Virginia,Small,Walk,1836,10.6,1.9,VA,South
Blaine city,City,Minnesota,Small,Walk,232,0.8,0.3,MN,North Central
Bloomingdale village,Village,Illinois,Small,Walk,99,0.9,0.8,IL,North Central
Bloomington city,City,Illinois,Small,Walk,1201,3.1,0.8,IL,North Central
Bloomington city,City,Indiana,Small,Walk,5067,14.4,1.5,IN,North Central
Bloomington city,City,Minnesota,Small,Walk,757,1.8,0.5,MN,North Central
Blue Island city,City,Illinois,Small,Walk,263,2.7,1.2,IL,North Central
Blue Springs city,City,Missouri,Small,Walk,187,0.7,0.4,MO,North Central
Blythe city,City,California,Small,Walk,147,2.7,1.3,CA,West
Boca Raton city,City,Florida,Small,Walk,936,2.4,0.6,FL,South
Bolingbrook village,Village,Illinois,Small,Walk,347,1,0.3,IL,North Central
Bonita Springs city,City,Florida,Small,Walk,189,1.2,0.7,FL,South
Bossier City city,City,Louisiana,Small,Walk,815,2.7,0.7,LA,South
Bothell city,City,Washington,Small,Walk,237,1.4,0.6,WA,West
Bountiful city,City,Utah,Small,Walk,266,1.4,0.6,UT,West
Bowie city,City,Maryland,Small,Walk,466,1.6,0.6,MD,South
Bowling Green city,City,Kentucky,Small,Walk,1338,5,1,KY,South
Bowling Green city,City,Ohio,Small,Walk,2351,15.8,2.4,OH,North Central
Boynton Beach city,City,Florida,Small,Walk,246,0.8,0.4,FL,South
Bozeman city,City,Montana,Small,Walk,2071,10.1,1.7,MT,West
Bradenton city,City,Florida,Small,Walk,264,1.3,0.5,FL,South
Braintree Town city,City,Massachusetts,Small,Walk,154,0.9,0.4,MA,Northeast
Brandon city,City,Mississippi,Small,Walk,38,0.4,0.4,MS,South
Brawley city,City,California,Small,Walk,315,3.7,1.7,CA,West
Brea city,City,California,Small,Walk,299,1.5,0.7,CA,West
Bremerton city,City,Washington,Small,Walk,2004,11.1,3,WA,West
Brentwood city,City,California,Small,Walk,180,0.8,0.5,CA,West
Brentwood city,City,Tennessee,Small,Walk,161,1,0.6,TN,South
Bridgeton city,City,New Jersey,Small,Walk,194,2.5,1.3,NJ,Northeast
Brighton city,City,Colorado,Small,Walk,313,2.1,0.9,CO,West
Bristol city,City,Connecticut,Small,Walk,367,1.2,0.5,CT,Northeast
Bristol city,City,Tennessee,Small,Walk,191,1.7,1.1,TN,South
Brockton city,City,Massachusetts,Small,Walk,1133,2.7,0.6,MA,Northeast
Brookfield city,City,Wisconsin,Small,Walk,145,0.8,0.5,WI,North Central
Brookings city,City,South Dakota,Small,Walk,1096,8.9,2,SD,North Central
Brooklyn Center city,City,Minnesota,Small,Walk,384,2.7,1.1,MN,North Central
Brooklyn Park city,City,Minnesota,Small,Walk,259,0.7,0.3,MN,North Central
Broomfield city,City,Colorado,Small,Walk,355,1.2,0.6,CO,West
Brownsburg town,Town,Indiana,Small,Walk,11,0.1,0.2,IN,North Central
Brunswick city,City,Ohio,Small,Walk,261,1.5,1.1,OH,North Central
Bryan city,City,Texas,Small,Walk,924,2.6,0.8,TX,South
Buckeye town,Town,Arizona,Small,Walk,211,1.1,0.5,AZ,West
Buena Park city,City,California,Small,Walk,1057,2.9,0.6,CA,West
Buffalo Grove village,Village,Illinois,Small,Walk,119,0.5,0.2,IL,North Central
Bullhead City city,City,Arizona,Small,Walk,177,1.3,0.7,AZ,West
Burbank city,City,Illinois,Small,Walk,175,1.4,0.7,IL,North Central
Burien city,City,Washington,Small,Walk,355,1.8,0.6,WA,West
Burleson city,City,Texas,Small,Walk,156,0.9,0.6,TX,South
Burlingame city,City,California,Small,Walk,532,3.7,1.4,CA,West
Burlington city,City,Iowa,Small,Walk,240,2.1,0.9,IA,North Central
Burlington city,City,North Carolina,Small,Walk,250,1.1,0.6,NC,South
Burlington city,City,Vermont,Small,Walk,4490,20.3,1.9,VT,Northeast
Burnsville city,City,Minnesota,Small,Walk,426,1.3,0.5,MN,North Central
Burton city,City,Michigan,Small,Walk,59,0.5,0.3,MI,North Central
Butte-Silver Bow (balance),(Balance),Montana,Small,Walk,651,4.2,1.3,MT,West
Cabot city,City,Arkansas,Small,Walk,123,1.1,0.8,AR,South
Calabasas city,City,California,Small,Walk,27,0.3,0.3,CA,West
Caldwell city,City,Idaho,Small,Walk,181,1,0.4,ID,West
Caledonia village,Village,Wisconsin,Small,Walk,26,0.2,0.2,WI,North Central
Calexico city,City,California,Small,Walk,438,3.6,1.4,CA,West
Calumet City city,City,Illinois,Small,Walk,334,2.3,1,IL,North Central
Camarillo city,City,California,Small,Walk,392,1.3,0.5,CA,West
Camas city,City,Washington,Small,Walk,153,1.9,1.1,WA,West
Camden city,City,New Jersey,Small,Walk,1300,5.5,1.3,NJ,Northeast
Campbell city,City,California,Small,Walk,306,1.4,0.6,CA,West
Canton city,City,Georgia,Small,Walk,258,2.6,1.4,GA,South
Canton city,City,Ohio,Small,Walk,898,3.1,1,OH,North Central
Cape Girardeau city,City,Missouri,Small,Walk,908,5.1,1.4,MO,North Central
Carbondale city,City,Illinois,Small,Walk,1601,15.1,3.2,IL,North Central
Carlsbad city,City,New Mexico,Small,Walk,155,1.3,0.9,NM,West
Carmel city,City,Indiana,Small,Walk,364,0.9,0.4,IN,North Central
Carol Stream village,Village,Illinois,Small,Walk,209,1,0.7,IL,North Central
Carpentersville village,Village,Illinois,Small,Walk,147,0.8,0.5,IL,North Central
Carrboro town,Town,North Carolina,Small,Walk,311,2.7,1.1,NC,South
Carrollton city,City,Georgia,Small,Walk,224,2.4,1.2,GA,South
Carson city,City,California,Small,Walk,697,1.7,0.6,CA,West
Carson City,City,Nevada,Small,Walk,387,1.7,0.6,NV,West
Carteret borough,Borough,New Jersey,Small,Walk,211,2.1,1.1,NJ,Northeast
Casa Grande city,City,Arizona,Small,Walk,443,2.4,1.1,AZ,West
Casper city,City,Wyoming,Small,Walk,483,1.7,0.6,WY,West
Casselberry city,City,Florida,Small,Walk,184,1.5,0.9,FL,South
Castle Rock town,Town,Colorado,Small,Walk,373,1.5,1.1,CO,West
Cathedral City city,City,California,Small,Walk,198,0.9,0.4,CA,West
Cedar City city,City,Utah,Small,Walk,666,5.6,2,UT,West
Cedar Falls city,City,Iowa,Small,Walk,2411,11.8,1.9,IA,North Central
Cedar Hill city,City,Texas,Small,Walk,282,1.3,0.6,TX,South
Cedar Park city,City,Texas,Small,Walk,287,1.1,0.6,TX,South
Centerville city,City,Ohio,Small,Walk,10,0.1,0.2,OH,North Central
Central city,City,Louisiana,Small,Walk,75,0.5,0.4,LA,South
Ceres city,City,California,Small,Walk,294,1.7,0.8,CA,West
Cerritos city,City,California,Small,Walk,146,0.7,0.4,CA,West
Chambersburg borough,Borough,Pennsylvania,Small,Walk,332,4.1,1.5,PA,Northeast
Champaign city,City,Illinois,Small,Walk,4831,12.1,1.5,IL,North Central
Champlin city,City,Minnesota,Small,Walk,50,0.4,0.3,MN,North Central
Chanhassen city,City,Minnesota,Small,Walk,118,1,0.6,MN,North Central
Chapel Hill town,Town,North Carolina,Small,Walk,2685,10.2,1.2,NC,South
Charleston city,City,Illinois,Small,Walk,1365,13.5,2.7,IL,North Central
Charleston city,City,West Virginia,Small,Walk,1268,5.5,1.2,WV,South
Charlottesville city,City,Virginia,Small,Walk,2592,12.6,1.7,VA,South
Chaska city,City,Minnesota,Small,Walk,96,0.8,0.6,MN,North Central
Chelsea city,City,Massachusetts,Small,Walk,1322,8.2,1.8,MA,Northeast
Chester city,City,Pennsylvania,Small,Walk,861,7.5,1.5,PA,Northeast
Chesterfield city,City,Missouri,Small,Walk,187,0.8,0.4,MO,North Central
Cheyenne city,City,Wyoming,Small,Walk,699,2.3,0.8,WY,West
Chicago Heights city,City,Illinois,Small,Walk,194,1.7,0.8,IL,North Central
Chico city,City,California,Small,Walk,2155,5.6,0.9,CA,West
Chicopee city,City,Massachusetts,Small,Walk,718,2.8,0.9,MA,Northeast
Chillicothe city,City,Ohio,Small,Walk,190,2.2,1.1,OH,North Central
Chino city,City,California,Small,Walk,399,1.2,0.5,CA,West
Chino Hills city,City,California,Small,Walk,278,0.8,0.5,CA,West
Christiansburg town,Town,Virginia,Small,Walk,23,0.2,0.2,VA,South
Cicero town,Town,Illinois,Small,Walk,1171,3.5,0.8,IL,North Central
Citrus Heights city,City,California,Small,Walk,723,1.9,0.6,CA,West
Claremont city,City,California,Small,Walk,1561,10.6,1.8,CA,West
Clarksville town,Town,Indiana,Small,Walk,152,1.5,1,IN,North Central
Clearfield city,City,Utah,Small,Walk,201,1.5,0.8,UT,West
Cleburne city,City,Texas,Small,Walk,148,1.2,0.7,TX,South
Clermont city,City,Florida,Small,Walk,173,1.5,1.2,FL,South
Cleveland city,City,Tennessee,Small,Walk,473,2.7,0.9,TN,South
Cleveland Heights city,City,Ohio,Small,Walk,1254,5.6,0.9,OH,North Central
Cliffside Park borough,Borough,New Jersey,Small,Walk,487,4.2,1.6,NJ,Northeast
Clifton city,City,New Jersey,Small,Walk,947,2.3,0.6,NJ,Northeast
Clinton city,City,Iowa,Small,Walk,289,2.4,1,IA,North Central
Clinton city,City,Mississippi,Small,Walk,120,1,0.4,MS,South
Clinton city,City,Utah,Small,Walk,110,1.2,0.7,UT,West
Clovis city,City,California,Small,Walk,569,1.4,0.5,CA,West
Clovis city,City,New Mexico,Small,Walk,292,1.8,0.8,NM,West
Coachella city,City,California,Small,Walk,135,0.9,0.7,CA,West
Coconut Creek city,City,Florida,Small,Walk,165,0.7,0.4,FL,South
Coeur d'Alene city,City,Idaho,Small,Walk,581,2.8,0.8,ID,West
College Park city,City,Maryland,Small,Walk,2833,21.5,3.2,MD,South
College Station city,City,Texas,Small,Walk,2354,5.5,1.1,TX,South
Colleyville city,City,Texas,Small,Walk,21,0.2,0.2,TX,South
Collierville town,Town,Tennessee,Small,Walk,146,0.7,0.4,TN,South
Collinsville city,City,Illinois,Small,Walk,46,0.4,0.3,IL,North Central
Colton city,City,California,Small,Walk,148,0.7,0.4,CA,West
Columbia city,City,Tennessee,Small,Walk,159,1.1,0.6,TN,South
Columbus city,City,Indiana,Small,Walk,260,1.2,0.5,IN,North Central
Columbus city,City,Mississippi,Small,Walk,420,4.7,1.6,MS,South
Columbus city,City,Nebraska,Small,Walk,268,2.4,1.2,NE,North Central
Commerce City city,City,Colorado,Small,Walk,188,0.9,0.5,CO,West
Compton city,City,California,Small,Walk,573,1.7,0.5,CA,West
Concord city,City,New Hampshire,Small,Walk,975,4.6,1,NH,Northeast
Concord city,City,North Carolina,Small,Walk,222,0.6,0.3,NC,South
Conroe city,City,Texas,Small,Walk,420,1.6,0.6,TX,South
Conway city,City,Arkansas,Small,Walk,686,2.4,0.7,AR,South
Cookeville city,City,Tennessee,Small,Walk,170,1.5,0.7,TN,South
Coon Rapids city,City,Minnesota,Small,Walk,371,1.1,0.4,MN,North Central
Cooper City city,City,Florida,Small,Walk,157,1,0.5,FL,South
Coppell city,City,Texas,Small,Walk,63,0.3,0.2,TX,South
Copperas Cove city,City,Texas,Small,Walk,201,1.5,0.8,TX,South
Coral Gables city,City,Florida,Small,Walk,1292,6.1,1.3,FL,South
Corcoran city,City,California,Small,Walk,78,2,1.5,CA,West
Corinth city,City,Texas,Small,Walk,159,1.6,1.9,TX,South
Cornelius town,Town,North Carolina,Small,Walk,113,0.9,0.5,NC,South
Coronado city,City,California,Small,Walk,846,7.7,2,CA,West
Corsicana city,City,Texas,Small,Walk,250,2.5,1.1,TX,South
Corvallis city,City,Oregon,Small,Walk,3109,12.4,1.8,OR,West
Cottage Grove city,City,Minnesota,Small,Walk,242,1.3,0.7,MN,North Central
Cottonwood Heights city,City,Utah,Small,Walk,495,2.9,0.9,UT,West
Council Bluffs city,City,Iowa,Small,Walk,529,1.7,0.5,IA,North Central
Covina city,City,California,Small,Walk,145,0.7,0.4,CA,West
Covington city,City,Kentucky,Small,Walk,671,3.8,0.9,KY,South
Cranston city,City,Rhode Island,Small,Walk,641,1.7,0.4,RI,Northeast
Crest Hill city,City,Illinois,Small,Walk,18,0.2,0.3,IL,North Central
Crestview city,City,Florida,Small,Walk,79,0.9,0.6,FL,South
Crown Point city,City,Indiana,Small,Walk,163,1.3,0.8,IN,North Central
Crystal city,City,Minnesota,Small,Walk,117,1,0.5,MN,North Central
Crystal Lake city,City,Illinois,Small,Walk,285,1.4,0.7,IL,North Central
Cudahy city,City,California,Small,Walk,322,3.6,1.6,CA,West
Culver City city,City,California,Small,Walk,289,1.4,0.7,CA,West
Cumberland city,City,Maryland,Small,Walk,482,6.2,2.2,MD,South
Cupertino city,City,California,Small,Walk,427,1.7,0.8,CA,West
Cutler Bay town,Town,Florida,Small,Walk,39,0.2,0.2,FL,South
Cuyahoga Falls city,City,Ohio,Small,Walk,214,0.9,0.4,OH,North Central
Cypress city,City,California,Small,Walk,241,1,0.5,CA,West
Dalton city,City,Georgia,Small,Walk,136,1,0.7,GA,South
Dana Point city,City,California,Small,Walk,412,2.4,1.1,CA,West
Danbury city,City,Connecticut,Small,Walk,1111,2.6,0.7,CT,Northeast
Dania Beach city,City,Florida,Small,Walk,373,2.6,1.1,FL,South
Danville city,City,Illinois,Small,Walk,541,4.4,1.4,IL,North Central
Danville city,City,Virginia,Small,Walk,533,3.3,0.9,VA,South
Danville town,Town,California,Small,Walk,177,1,0.5,CA,West
Daphne city,City,Alabama,Small,Walk,70,0.7,0.6,AL,South
Darien city,City,Illinois,Small,Walk,182,1.7,0.9,IL,North Central
Davie town,Town,Florida,Small,Walk,524,1.1,0.4,FL,South
Davis city,City,California,Small,Walk,942,3.1,0.7,CA,West
Daytona Beach city,City,Florida,Small,Walk,1132,4.9,1,FL,South
De Pere city,City,Wisconsin,Small,Walk,873,6.9,2,WI,North Central
Dearborn city,City,Michigan,Small,Walk,612,1.8,0.5,MI,North Central
Dearborn Heights city,City,Michigan,Small,Walk,183,0.9,0.4,MI,North Central
Decatur city,City,Alabama,Small,Walk,265,1.1,0.5,AL,South
Decatur city,City,Illinois,Small,Walk,787,2.5,0.6,IL,North Central
Deer Park city,City,Texas,Small,Walk,110,0.7,0.6,TX,South
Deerfield Beach city,City,Florida,Small,Walk,589,1.7,0.6,FL,South
DeKalb city,City,Illinois,Small,Walk,1725,8.5,1.6,IL,North Central
Del City city,City,Oklahoma,Small,Walk,183,2,0.9,OK,South
Del Rio city,City,Texas,Small,Walk,315,2.3,1.4,TX,South
DeLand city,City,Florida,Small,Walk,392,4,1.7,FL,South
Delano city,City,California,Small,Walk,310,2.1,0.9,CA,West
Delaware city,City,Ohio,Small,Walk,665,3.9,0.9,OH,North Central
Delray Beach city,City,Florida,Small,Walk,521,1.8,0.6,FL,South
Deltona city,City,Florida,Small,Walk,250,0.7,0.4,FL,South
Denison city,City,Texas,Small,Walk,222,2.4,0.9,TX,South
Derby city,City,Kansas,Small,Walk,64,0.6,0.4,KS,North Central
Des Moines city,City,Washington,Small,Walk,338,2.5,1.5,WA,West
Des Plaines city,City,Illinois,Small,Walk,291,1,0.4,IL,North Central
Desert Hot Springs city,City,California,Small,Walk,188,2.1,1.1,CA,West
DeSoto city,City,Texas,Small,Walk,152,0.7,0.4,TX,South
Diamond Bar city,City,California,Small,Walk,458,1.7,1.5,CA,West
Dinuba city,City,California,Small,Walk,130,1.6,1.1,CA,West
Dodge City city,City,Kansas,Small,Walk,186,1.5,0.8,KS,North Central
Dolton village,Village,Illinois,Small,Walk,70,0.7,0.5,IL,North Central
Doral city,City,Florida,Small,Walk,97,0.5,0.4,FL,South
Dothan city,City,Alabama,Small,Walk,168,0.6,0.2,AL,South
Douglasville city,City,Georgia,Small,Walk,137,1,0.8,GA,South
Dover city,City,Delaware,Small,Walk,710,4.5,1.5,DE,South
Dover city,City,New Hampshire,Small,Walk,659,4,1.3,NH,Northeast
Downers Grove village,Village,Illinois,Small,Walk,529,2.2,0.6,IL,North Central
Draper city,City,Utah,Small,Walk,201,1.2,0.7,UT,West
Duarte city,City,California,Small,Walk,253,2.8,1.2,CA,West
Dublin city,City,California,Small,Walk,541,2.4,1.1,CA,West
Dublin city,City,Ohio,Small,Walk,106,0.5,0.3,OH,North Central
Dubuque city,City,Iowa,Small,Walk,1766,6,0.9,IA,North Central
Duluth city,City,Georgia,Small,Walk,257,2,2.7,GA,South
Duluth city,City,Minnesota,Small,Walk,2158,5.2,0.7,MN,North Central
Duncan city,City,Oklahoma,Small,Walk,118,1.2,0.8,OK,South
Duncanville city,City,Texas,Small,Walk,73,0.4,0.3,TX,South
Dunedin city,City,Florida,Small,Walk,242,1.5,0.6,FL,South
Dunwoody city,City,Georgia,Small,Walk,451,2,0.9,GA,South
Eagan city,City,Minnesota,Small,Walk,244,0.7,0.2,MN,North Central
Eagle city,City,Idaho,Small,Walk,34,0.4,0.5,ID,West
Eagle Mountain city,City,Utah,Small,Walk,34,0.4,0.5,UT,West
Eagle Pass city,City,Texas,Small,Walk,245,2.5,1.1,TX,South
Easley city,City,South Carolina,Small,Walk,65,0.7,0.5,SC,South
East Chicago city,City,Indiana,Small,Walk,374,4,1.5,IN,North Central
East Lansing city,City,Michigan,Small,Walk,4716,23.3,2.2,MI,North Central
East Moline city,City,Illinois,Small,Walk,70,0.8,0.5,IL,North Central
East Orange city,City,New Jersey,Small,Walk,1591,6.2,1.1,NJ,Northeast
East Palo Alto city,City,California,Small,Walk,332,2.7,1.5,CA,West
East Peoria city,City,Illinois,Small,Walk,222,2,0.9,IL,North Central
East Point city,City,Georgia,Small,Walk,198,1.4,0.8,GA,South
East Providence city,City,Rhode Island,Small,Walk,209,0.9,0.5,RI,Northeast
East Ridge city,City,Tennessee,Small,Walk,7,0.1,0.1,TN,South
East St. Louis city,City,Illinois,Small,Walk,179,2.3,1.2,IL,North Central
Easton city,City,Pennsylvania,Small,Walk,507,4.8,1.3,PA,Northeast
Eastpointe city,City,Michigan,Small,Walk,282,2.2,1,MI,North Central
Eastvale city,City,California,Small,Walk,61,0.2,0.3,CA,West
Eau Claire city,City,Wisconsin,Small,Walk,1884,5.3,1,WI,North Central
Eden Prairie city,City,Minnesota,Small,Walk,538,1.6,0.6,MN,North Central
Edgewater city,City,Florida,Small,Walk,95,1.1,1.1,FL,South
Edina city,City,Minnesota,Small,Walk,444,1.9,0.6,MN,North Central
Edinburg city,City,Texas,Small,Walk,432,1.4,0.6,TX,South
Edmond city,City,Oklahoma,Small,Walk,629,1.5,0.5,OK,South
Edmonds city,City,Washington,Small,Walk,342,1.7,0.7,WA,West
Edwardsville city,City,Illinois,Small,Walk,371,3.1,1.1,IL,North Central
El Centro city,City,California,Small,Walk,381,2.5,0.9,CA,West
El Cerrito city,City,California,Small,Walk,231,1.9,0.8,CA,West
El Mirage city,City,Arizona,Small,Walk,68,0.5,0.5,AZ,West
El Paso de Robles (Paso Robles) city,City,California,Small,Walk,203,1.6,0.8,CA,West
Elizabethtown city,City,Kentucky,Small,Walk,74,0.6,0.4,KY,South
Elk Grove Village village,Village,Illinois,Small,Walk,209,1.2,0.9,IL,North Central
Elk River city,City,Minnesota,Small,Walk,87,0.7,0.6,MN,North Central
Elkhart city,City,Indiana,Small,Walk,377,1.8,0.7,IN,North Central
Elmhurst city,City,Illinois,Small,Walk,425,2.1,0.6,IL,North Central
Elmira city,City,New York,Small,Walk,795,7.4,1.5,NY,Northeast
Elmwood Park village,Village,Illinois,Small,Walk,337,2.7,1,IL,North Central
Elyria city,City,Ohio,Small,Walk,276,1.1,0.4,OH,North Central
Emporia city,City,Kansas,Small,Walk,754,6,1.5,KS,North Central
Encinitas city,City,California,Small,Walk,562,1.9,0.6,CA,West
Englewood city,City,Colorado,Small,Walk,479,3,0.8,CO,West
Englewood city,City,New Jersey,Small,Walk,738,5.4,1.6,NJ,Northeast
Enid city,City,Oklahoma,Small,Walk,286,1.3,0.5,OK,South
Enterprise city,City,Alabama,Small,Walk,145,1.3,0.8,AL,South
Euclid city,City,Ohio,Small,Walk,259,1.2,0.5,OH,North Central
Euless city,City,Texas,Small,Walk,269,1,0.4,TX,South
Eureka city,City,California,Small,Walk,734,6.1,1.6,CA,West
Evanston city,City,Illinois,Small,Walk,4147,11.6,1,IL,North Central
Everett city,City,Massachusetts,Small,Walk,905,4.1,1.2,MA,Northeast
Fair Lawn borough,Borough,New Jersey,Small,Walk,217,1.3,0.6,NJ,Northeast
Fairbanks city,City,Alaska,Small,Walk,660,4.3,1.2,AK,West
Fairborn city,City,Ohio,Small,Walk,457,3,1,OH,North Central
Fairfax city,City,Virginia,Small,Walk,376,3.1,1.2,VA,South
Fairfield city,City,Ohio,Small,Walk,138,0.6,0.5,OH,North Central
Fall River city,City,Massachusetts,Small,Walk,1232,3.4,0.8,MA,Northeast
Faribault city,City,Minnesota,Small,Walk,170,1.8,1.3,MN,North Central
Farmers Branch city,City,Texas,Small,Walk,324,2.3,1.2,TX,South
Farmington city,City,Minnesota,Small,Walk,64,0.6,0.4,MN,North Central
Farmington city,City,New Mexico,Small,Walk,384,1.9,0.9,NM,West
Farmington city,City,Utah,Small,Walk,132,1.6,0.9,UT,West
Farmington Hills city,City,Michigan,Small,Walk,420,1.1,0.3,MI,North Central
Farragut town,Town,Tennessee,Small,Walk,13,0.1,0.2,TN,South
Fayetteville city,City,Arkansas,Small,Walk,1962,5.2,1,AR,South
Federal Way city,City,Washington,Small,Walk,916,2.1,0.6,WA,West
Ferguson city,City,Missouri,Small,Walk,56,0.6,0.5,MO,North Central
Ferndale city,City,Michigan,Small,Walk,270,2.5,1.1,MI,North Central
Findlay city,City,Ohio,Small,Walk,609,3.2,1.1,OH,North Central
Fishers town,Town,Indiana,Small,Walk,134,0.3,0.3,IN,North Central
Fitchburg city,City,Massachusetts,Small,Walk,812,4.4,1.1,MA,Northeast
Fitchburg city,City,Wisconsin,Small,Walk,215,1.6,0.8,WI,North Central
Flagstaff city,City,Arizona,Small,Walk,3560,10.2,1.7,AZ,West
Florence city,City,Alabama,Small,Walk,202,1.3,0.6,AL,South
Florence city,City,Kentucky,Small,Walk,221,1.6,1,KY,South
Florence city,City,South Carolina,Small,Walk,213,1.3,0.6,SC,South
Florence town,Town,Arizona,Small,Walk,169,5.7,3.1,AZ,West
Florissant city,City,Missouri,Small,Walk,235,0.9,0.4,MO,North Central
Flower Mound town,Town,Texas,Small,Walk,295,0.9,0.5,TX,South
Folsom city,City,California,Small,Walk,499,1.6,0.6,CA,West
Fond du Lac city,City,Wisconsin,Small,Walk,700,3.4,0.9,WI,North Central
Forest Grove city,City,Oregon,Small,Walk,536,6.1,2.2,OR,West
Fort Dodge city,City,Iowa,Small,Walk,353,3.1,1.1,IA,North Central
Fort Lee borough,Borough,New Jersey,Small,Walk,790,4.6,1.1,NJ,Northeast
Fort Myers city,City,Florida,Small,Walk,448,1.9,0.8,FL,South
Fort Pierce city,City,Florida,Small,Walk,227,1.5,1,FL,South
Fort Smith city,City,Arkansas,Small,Walk,453,1.2,0.4,AR,South
Fort Walton Beach city,City,Florida,Small,Walk,179,1.8,0.9,FL,South
Foster City city,City,California,Small,Walk,228,1.5,0.7,CA,West
Fountain city,City,Colorado,Small,Walk,60,0.5,0.5,CO,West
Fountain Hills town,Town,Arizona,Small,Walk,34,0.3,0.3,AZ,West
Fountain Valley city,City,California,Small,Walk,240,0.9,0.5,CA,West
Frankfort city,City,Kentucky,Small,Walk,500,4.1,1.1,KY,South
Franklin city,City,Indiana,Small,Walk,383,3.6,1.1,IN,North Central
