city,city_type,state,city_size,mode,n,percent,moe,state_abb,state_region
Burlington city,City,Vermont,Small,Bike,1101,5,1.2,VT,Northeast
Burnsville city,City,Minnesota,Small,Bike,127,0.4,0.3,MN,North Central
Burton city,City,Michigan,Small,Bike,14,0.1,0.2,MI,North Central
Butte-Silver Bow (balance),(Balance),Montana,Small,Bike,42,0.3,0.4,MT,West
Cabot city,City,Arkansas,Small,Bike,0,0,0.3,AR,South
Calabasas city,City,California,Small,Bike,0,0,0.4,CA,West
Caldwell city,City,Idaho,Small,Bike,52,0.3,0.3,ID,West
Caledonia village,Village,Wisconsin,Small,Bike,26,0.2,0.2,WI,North Central
Calexico city,City,California,Small,Bike,60,0.5,0.6,CA,West
Calumet City city,City,Illinois,Small,Bike,74,0.5,0.6,IL,North Central
Camarillo city,City,California,Small,Bike,156,0.5,0.3,CA,West
Camas city,City,Washington,Small,Bike,64,0.8,0.5,WA,West
Camden city,City,New Jersey,Small,Bike,84,0.4,0.4,NJ,Northeast
Campbell city,City,California,Small,Bike,432,2,1,CA,West
Canton city,City,Georgia,Small,Bike,0,0,0.4,GA,South
Canton city,City,Ohio,Small,Bike,58,0.2,0.1,OH,North Central
Cape Girardeau city,City,Missouri,Small,Bike,128,0.7,0.8,MO,North Central
Carbondale city,City,Illinois,Small,Bike,381,3.6,1.2,IL,North Central
Carlsbad city,City,New Mexico,Small,Bike,0,0,0.3,NM,West
Carmel city,City,Indiana,Small,Bike,137,0.3,0.2,IN,North Central
Carol Stream village,Village,Illinois,Small,Bike,66,0.3,0.4,IL,North Central
Carpentersville village,Village,Illinois,Small,Bike,7,0,0.1,IL,North Central
Carrboro town,Town,North Carolina,Small,Bike,605,5.3,2.1,NC,South
Carrollton city,City,Georgia,Small,Bike,43,0.5,0.4,GA,South
Carson city,City,California,Small,Bike,85,0.2,0.2,CA,West
Carson City,City,Nevada,Small,Bike,261,1.1,0.6,NV,West
Carteret borough,Borough,New Jersey,Small,Bike,61,0.6,0.6,NJ,Northeast
Casa Grande city,City,Arizona,Small,Bike,48,0.3,0.2,AZ,West
Casper city,City,Wyoming,Small,Bike,195,0.7,0.3,WY,West
Casselberry city,City,Florida,Small,Bike,72,0.6,0.5,FL,South
Castle Rock town,Town,Colorado,Small,Bike,18,0.1,0.1,CO,West
Cathedral City city,City,California,Small,Bike,50,0.2,0.2,CA,West
Cedar City city,City,Utah,Small,Bike,117,1,0.5,UT,West
Cedar Falls city,City,Iowa,Small,Bike,146,0.7,0.4,IA,North Central
Cedar Hill city,City,Texas,Small,Bike,19,0.1,0.1,TX,South
Cedar Park city,City,Texas,Small,Bike,42,0.2,0.2,TX,South
Centerville city,City,Ohio,Small,Bike,3,0,4.1,OH,North Central
Central city,City,Louisiana,Small,Bike,0,0,0.3,LA,South
Ceres city,City,California,Small,Bike,78,0.5,0.6,CA,West
Cerritos city,City,California,Small,Bike,35,0.2,0.2,CA,West
Chambersburg borough,Borough,Pennsylvania,Small,Bike,28,0.3,0.4,PA,Northeast
Champaign city,City,Illinois,Small,Bike,1075,2.7,0.6,IL,North Central
Champlin city,City,Minnesota,Small,Bike,52,0.4,0.3,MN,North Central
Chanhassen city,City,Minnesota,Small,Bike,35,0.3,0.4,MN,North Central
Chapel Hill town,Town,North Carolina,Small,Bike,583,2.2,0.5,NC,South
Charleston city,City,Illinois,Small,Bike,110,1.1,0.7,IL,North Central
Charleston city,City,West Virginia,Small,Bike,49,0.2,0.1,WV,South
Charlottesville city,City,Virginia,Small,Bike,753,3.7,0.9,VA,South
Chaska city,City,Minnesota,Small,Bike,24,0.2,0.2,MN,North Central
Chelsea city,City,Massachusetts,Small,Bike,136,0.8,0.6,MA,Northeast
Chester city,City,Pennsylvania,Small,Bike,104,0.9,0.8,PA,Northeast
Chesterfield city,City,Missouri,Small,Bike,14,0.1,0.1,MO,North Central
Cheyenne city,City,Wyoming,Small,Bike,207,0.7,0.3,WY,West
Chicago Heights city,City,Illinois,Small,Bike,99,0.9,0.8,IL,North Central
Chico city,City,California,Small,Bike,2239,5.8,1,CA,West
Chicopee city,City,Massachusetts,Small,Bike,129,0.5,0.6,MA,Northeast
Chillicothe city,City,Ohio,Small,Bike,14,0.2,0.2,OH,North Central
Chino city,City,California,Small,Bike,97,0.3,0.2,CA,West
Chino Hills city,City,California,Small,Bike,206,0.6,0.7,CA,West
Christiansburg town,Town,Virginia,Small,Bike,0,0,0.3,VA,South
Cicero town,Town,Illinois,Small,Bike,312,0.9,0.5,IL,North Central
Citrus Heights city,City,California,Small,Bike,137,0.4,0.2,CA,West
Claremont city,City,California,Small,Bike,296,2,0.7,CA,West
Clarksville town,Town,Indiana,Small,Bike,27,0.3,0.3,IN,North Central
Clearfield city,City,Utah,Small,Bike,39,0.3,0.3,UT,West
Cleburne city,City,Texas,Small,Bike,0,0,0.3,TX,South
Clermont city,City,Florida,Small,Bike,18,0.2,0.2,FL,South
Cleveland city,City,Tennessee,Small,Bike,51,0.3,0.3,TN,South
Cleveland Heights city,City,Ohio,Small,Bike,197,0.9,0.3,OH,North Central
Cliffside Park borough,Borough,New Jersey,Small,Bike,39,0.3,0.3,NJ,Northeast
Clifton city,City,New Jersey,Small,Bike,59,0.1,0.2,NJ,Northeast
Clinton city,City,Iowa,Small,Bike,58,0.5,0.4,IA,North Central
Clinton city,City,Mississippi,Small,Bike,0,0,0.3,MS,South
Clinton city,City,Utah,Small,Bike,13,0.1,0.2,UT,West
Clovis city,City,California,Small,Bike,156,0.4,0.2,CA,West
Clovis city,City,New Mexico,Small,Bike,58,0.4,0.3,NM,West
Coachella city,City,California,Small,Bike,15,0.1,0.2,CA,West
Coconut Creek city,City,Florida,Small,Bike,110,0.4,0.3,FL,South
Coeur d'Alene city,City,Idaho,Small,Bike,191,0.9,0.5,ID,West
College Park city,City,Maryland,Small,Bike,433,3.3,1.2,MD,South
College Station city,City,Texas,Small,Bike,1126,2.6,0.5,TX,South
Colleyville city,City,Texas,Small,Bike,25,0.2,0.3,TX,South
Collierville town,Town,Tennessee,Small,Bike,5,0,0.1,TN,South
Collinsville city,City,Illinois,Small,Bike,31,0.3,0.3,IL,North Central
Colton city,City,California,Small,Bike,133,0.6,0.6,CA,West
Columbia city,City,Tennessee,Small,Bike,54,0.4,0.5,TN,South
Columbus city,City,Indiana,Small,Bike,99,0.5,0.2,IN,North Central
Columbus city,City,Mississippi,Small,Bike,5,0.1,0.1,MS,South
Columbus city,City,Nebraska,Small,Bike,52,0.5,0.5,NE,North Central
Commerce City city,City,Colorado,Small,Bike,10,0,0.1,CO,West
Compton city,City,California,Small,Bike,154,0.5,0.2,CA,West
Concord city,City,New Hampshire,Small,Bike,93,0.4,0.3,NH,Northeast
Concord city,City,North Carolina,Small,Bike,34,0.1,0.1,NC,South
Conroe city,City,Texas,Small,Bike,126,0.5,0.5,TX,South
Conway city,City,Arkansas,Small,Bike,104,0.4,0.2,AR,South
Cookeville city,City,Tennessee,Small,Bike,34,0.3,0.3,TN,South
Coon Rapids city,City,Minnesota,Small,Bike,101,0.3,0.2,MN,North Central
Cooper City city,City,Florida,Small,Bike,16,0.1,0.1,FL,South
Coppell city,City,Texas,Small,Bike,9,0,0.1,TX,South
Copperas Cove city,City,Texas,Small,Bike,25,0.2,0.2,TX,South
Coral Gables city,City,Florida,Small,Bike,144,0.7,0.5,FL,South
Corcoran city,City,California,Small,Bike,52,1.3,1.1,CA,West
Corinth city,City,Texas,Small,Bike,23,0.2,0.4,TX,South
Cornelius town,Town,North Carolina,Small,Bike,7,0.1,0.1,NC,South
Coronado city,City,California,Small,Bike,527,4.8,1.3,CA,West
Corsicana city,City,Texas,Small,Bike,31,0.3,0.4,TX,South
Corvallis city,City,Oregon,Small,Bike,2804,11.2,1.5,OR,West
Cottage Grove city,City,Minnesota,Small,Bike,64,0.4,0.3,MN,North Central
Cottonwood Heights city,City,Utah,Small,Bike,49,0.3,0.2,UT,West
Council Bluffs city,City,Iowa,Small,Bike,132,0.4,0.2,IA,North Central
Covina city,City,California,Small,Bike,134,0.6,0.4,CA,West
Covington city,City,Kentucky,Small,Bike,50,0.3,0.3,KY,South
Cranston city,City,Rhode Island,Small,Bike,92,0.3,0.2,RI,Northeast
Crest Hill city,City,Illinois,Small,Bike,0,0,0.3,IL,North Central
Crestview city,City,Florida,Small,Bike,11,0.1,0.2,FL,South
Crown Point city,City,Indiana,Small,Bike,0,0,0.2,IN,North Central
Crystal city,City,Minnesota,Small,Bike,9,0.1,0.1,MN,North Central
Crystal Lake city,City,Illinois,Small,Bike,0,0,0.1,IL,North Central
Cudahy city,City,California,Small,Bike,74,0.8,0.8,CA,West
Culver City city,City,California,Small,Bike,219,1.1,0.5,CA,West
Cumberland city,City,Maryland,Small,Bike,0,0,0.4,MD,South
Cupertino city,City,California,Small,Bike,221,0.9,0.5,CA,West
Cutler Bay town,Town,Florida,Small,Bike,28,0.2,0.2,FL,South
Cuyahoga Falls city,City,Ohio,Small,Bike,56,0.2,0.3,OH,North Central
Cypress city,City,California,Small,Bike,168,0.7,0.4,CA,West
Dalton city,City,Georgia,Small,Bike,29,0.2,0.3,GA,South
Dana Point city,City,California,Small,Bike,75,0.4,0.3,CA,West
Danbury city,City,Connecticut,Small,Bike,51,0.1,0.1,CT,Northeast
Dania Beach city,City,Florida,Small,Bike,102,0.7,0.5,FL,South
Danville city,City,Illinois,Small,Bike,28,0.2,0.2,IL,North Central
Danville city,City,Virginia,Small,Bike,33,0.2,0.1,VA,South
Danville town,Town,California,Small,Bike,29,0.2,0.2,CA,West
Daphne city,City,Alabama,Small,Bike,91,0.9,1.3,AL,South
Darien city,City,Illinois,Small,Bike,30,0.3,0.3,IL,North Central
Davie town,Town,Florida,Small,Bike,216,0.5,0.3,FL,South
Davis city,City,California,Small,Bike,5691,18.6,1.8,CA,West
Daytona Beach city,City,Florida,Small,Bike,429,1.9,0.7,FL,South
De Pere city,City,Wisconsin,Small,Bike,75,0.6,0.4,WI,North Central
Dearborn city,City,Michigan,Small,Bike,110,0.3,0.1,MI,North Central
Dearborn Heights city,City,Michigan,Small,Bike,32,0.2,0.2,MI,North Central
Decatur city,City,Alabama,Small,Bike,0,0,0.1,AL,South
Decatur city,City,Illinois,Small,Bike,54,0.2,0.1,IL,North Central
Deer Park city,City,Texas,Small,Bike,65,0.4,0.5,TX,South
Deerfield Beach city,City,Florida,Small,Bike,306,0.9,0.4,FL,South
DeKalb city,City,Illinois,Small,Bike,301,1.5,0.6,IL,North Central
Del City city,City,Oklahoma,Small,Bike,0,0,0.3,OK,South
Del Rio city,City,Texas,Small,Bike,125,0.9,0.5,TX,South
DeLand city,City,Florida,Small,Bike,159,1.6,1.2,FL,South
Delano city,City,California,Small,Bike,41,0.3,0.4,CA,West
Delaware city,City,Ohio,Small,Bike,46,0.3,0.2,OH,North Central
Delray Beach city,City,Florida,Small,Bike,188,0.7,0.4,FL,South
Deltona city,City,Florida,Small,Bike,58,0.2,0.2,FL,South
Denison city,City,Texas,Small,Bike,34,0.4,0.4,TX,South
Derby city,City,Kansas,Small,Bike,9,0.1,0.1,KS,North Central
Des Moines city,City,Washington,Small,Bike,24,0.2,0.3,WA,West
Des Plaines city,City,Illinois,Small,Bike,167,0.6,0.3,IL,North Central
Desert Hot Springs city,City,California,Small,Bike,0,0,0.4,CA,West
DeSoto city,City,Texas,Small,Bike,0,0,0.2,TX,South
Diamond Bar city,City,California,Small,Bike,7,0,0.1,CA,West
Dinuba city,City,California,Small,Bike,14,0.2,0.3,CA,West
Dodge City city,City,Kansas,Small,Bike,42,0.3,0.3,KS,North Central
Dolton village,Village,Illinois,Small,Bike,0,0,0.3,IL,North Central
Doral city,City,Florida,Small,Bike,5,0,0.1,FL,South
Dothan city,City,Alabama,Small,Bike,51,0.2,0.1,AL,South
Douglasville city,City,Georgia,Small,Bike,1,0,0.1,GA,South
Dover city,City,Delaware,Small,Bike,12,0.1,0.1,DE,South
Dover city,City,New Hampshire,Small,Bike,43,0.3,0.3,NH,Northeast
Downers Grove village,Village,Illinois,Small,Bike,176,0.7,0.4,IL,North Central
Draper city,City,Utah,Small,Bike,35,0.2,0.2,UT,West
Duarte city,City,California,Small,Bike,14,0.2,0.2,CA,West
Dublin city,City,California,Small,Bike,69,0.3,0.2,CA,West
Dublin city,City,Ohio,Small,Bike,16,0.1,0.1,OH,North Central
Dubuque city,City,Iowa,Small,Bike,43,0.1,0.1,IA,North Central
Duluth city,City,Georgia,Small,Bike,0,0,0.3,GA,South
Duluth city,City,Minnesota,Small,Bike,343,0.8,0.3,MN,North Central
Duncan city,City,Oklahoma,Small,Bike,18,0.2,0.3,OK,South
Duncanville city,City,Texas,Small,Bike,14,0.1,0.1,TX,South
Dunedin city,City,Florida,Small,Bike,296,1.9,0.8,FL,South
Dunwoody city,City,Georgia,Small,Bike,32,0.1,0.2,GA,South
Eagan city,City,Minnesota,Small,Bike,128,0.4,0.2,MN,North Central
Eagle city,City,Idaho,Small,Bike,48,0.6,0.5,ID,West
Eagle Mountain city,City,Utah,Small,Bike,0,0,0.4,UT,West
Eagle Pass city,City,Texas,Small,Bike,11,0.1,0.2,TX,South
Easley city,City,South Carolina,Small,Bike,11,0.1,0.2,SC,South
East Chicago city,City,Indiana,Small,Bike,0,0,0.3,IN,North Central
East Lansing city,City,Michigan,Small,Bike,1374,6.8,1.2,MI,North Central
East Moline city,City,Illinois,Small,Bike,0,0,0.3,IL,North Central
East Orange city,City,New Jersey,Small,Bike,17,0.1,0.1,NJ,Northeast
East Palo Alto city,City,California,Small,Bike,440,3.6,3.6,CA,West
East Peoria city,City,Illinois,Small,Bike,0,0,0.3,IL,North Central
East Point city,City,Georgia,Small,Bike,45,0.3,0.4,GA,South
East Providence city,City,Rhode Island,Small,Bike,78,0.4,0.3,RI,Northeast
East Ridge city,City,Tennessee,Small,Bike,3,0,0.1,TN,South
East St. Louis city,City,Illinois,Small,Bike,48,0.6,0.5,IL,North Central
Easton city,City,Pennsylvania,Small,Bike,25,0.2,0.2,PA,Northeast
Eastpointe city,City,Michigan,Small,Bike,0,0,0.2,MI,North Central
Eastvale city,City,California,Small,Bike,45,0.2,0.3,CA,West
Eau Claire city,City,Wisconsin,Small,Bike,389,1.1,0.3,WI,North Central
Eden Prairie city,City,Minnesota,Small,Bike,117,0.4,0.4,MN,North Central
Edgewater city,City,Florida,Small,Bike,82,0.9,0.9,FL,South
Edina city,City,Minnesota,Small,Bike,220,1,0.5,MN,North Central
Edinburg city,City,Texas,Small,Bike,90,0.3,0.2,TX,South
Edmond city,City,Oklahoma,Small,Bike,106,0.3,0.1,OK,South
Edmonds city,City,Washington,Small,Bike,54,0.3,0.2,WA,West
Edwardsville city,City,Illinois,Small,Bike,54,0.4,0.4,IL,North Central
El Centro city,City,California,Small,Bike,54,0.4,0.4,CA,West
El Cerrito city,City,California,Small,Bike,263,2.2,0.7,CA,West
El Mirage city,City,Arizona,Small,Bike,23,0.2,0.2,AZ,West
El Paso de Robles (Paso Robles) city,City,Ca,Small,Bike,71,0.5,0.4,NA,NA
Elizabethtown city,City,Kentucky,Small,Bike,0,0,0.3,KY,South
Elk Grove Village village,Village,Illinois,Small,Bike,22,0.1,0.2,IL,North Central
Elk River city,City,Minnesota,Small,Bike,26,0.2,0.2,MN,North Central
